#,T-Shirt Sizing Estimate,Impact to Users,Main Tracker Work Type,Tracker,Status,Priority,Subject,Author,Created,Requirements Complete,Due date,Agile Team Assigned,Product Owner,Target version,Start date,Sprint Number,Hold
178301,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,Ready for Release,Medium,BDL: Update  Broker fee approval status to Ready for Approval once Additional Fee Collab is complete (PBC-187),Tiffany Stephenson,07/11/2019 04:27 PM,Yes,08/02/2019,TBD,Swapna Nadkarni,2019-08-09 BDL Release August,"","",No
178929,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,Ready for Release,Medium,BDL: Logic update for Broker CD Approval Status field (PBC-187),Tiffany Stephenson,07/19/2019 04:34 PM,Yes,08/09/2019,TBD,Swapna Nadkarni,2019-08-09 BDL Release August,07/19/2019,"",No
179009,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,Ready for Release,Medium,"PBC - 187: BDL: Add a new field Draft CD Uploaded under PNMAC-Closing  ""Fee Collaboration Review' Section",Tiffany Stephenson,07/22/2019 02:42 PM,Yes,"",TBD,Swapna Nadkarni,2019-08-09 BDL Release August,07/22/2019,"",No
179354,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,New,Medium,CMT 6734: VA Funding Fee and COE Guidance Change,Tiffany Stephenson,07/25/2019 04:43 PM,Yes,"",Trendsetters,TBD,"",07/31/2019,36,No
179645,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,In QA,Medium,RAS 1475 Inaccurate Per Diem Interest - Based on Reg to Auto Check SYS.X8,Tiffany Stephenson,07/30/2019 04:28 PM,Yes,"",Trendsetters,David Few,2019-08-13 Release August,07/30/2019,36,No
180358,Small (13-24hr),4,Lights On Maintenance/BAU/Production Support,Agile Request,In Development,Medium,Custom Form - NBS SSA89,Tiffany Stephenson,08/08/2019 01:31 PM,Yes,"",TBD,Timur Nakonechnyy,2019-08-13 Release August,08/08/2019,,No
180362,Small (13-24hr),4,Enhancement/New Functionality,Agile Request,In UAT,Medium,New CDL Closing Documents Email Template,Tiffany Stephenson,08/08/2019 01:56 PM,No,08/19/2019,TBD,Timur Nakonechnyy,"",08/08/2019,,No
180333,Small (13-24hr),5,Enhancement/New Functionality,Agile Request,In UAT,Urgent,Prod Issue: Value Verify - Re-Run Fees prior to Disclosures,David Few,08/08/2019 10:19 AM,Yes,"",Gladiators,TBD,2019-08-13 Release August,08/08/2019,30,No
180452,Small (13-24hr),5,Enhancement/New Functionality,Agile Request,In Development,Medium,Data Entry Proof Sheet,Tiffany Stephenson,08/09/2019 12:15 PM,Yes,"",TBD,Timur Nakonechnyy,2019 Maintenance August,08/09/2019,,No
177416,Medium (25-60hr),"",Research & Analysis (TICKET ONLY),Agile Request,New,Medium,Research - Issues with LEF File from Encompass,Tiffany Stephenson,06/28/2019 09:24 AM,No,"",,TBD,"",06/28/2019,,No
145819,Medium (25-60hr),2,Enhancement,Agile Request,New,High,"BDL: Add new Broker Loan Status:  ""Broker Disclosure Review""",David Few,04/26/2018 04:49 PM,No,"",,Swapna Nadkarni,BDL: Tavant Future Release 2019,04/26/2018,,Yes
150166,Medium (25-60hr),2,New Functionality,Agile Request,New,High,New Folder in Test environment for Test Configuration and users,Brian Goldberg,07/02/2018 02:56 PM,Yes,"",Trendsetters,David Few,"",07/02/2018,,No
171183,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Contact Info: Texas A6 - Contact and Prepared by Persons,Tiffany Stephenson,04/11/2019 06:49 AM,No,"",,David Few,"",04/11/2019,,No
171217,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Alert for not re-disclosing DC Mortgage Written Commitment letter with revised CD,Tiffany Stephenson,04/11/2019 12:09 PM,No,"",,David Few,"",04/11/2019,,No
180448,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Initial LE vs. 1003 Cash to Close Discrepancy,Tiffany Stephenson,08/09/2019 12:02 PM,No,"",TBD,TBD,"",08/09/2019,,No
173790,Medium (25-60hr),2,Enhancement/New Functionality,Story,In Analysis,Medium,"OB: Total and Base Loan Amount Enhancements,",Swapna Nadkarni,05/09/2019 12:04 PM,No,"","","","",01/18/2019,"",No
165085,Medium (25-60hr),2,Enhancement/New Functionality,Story,In Development,Medium,"OB: Total and Base Loan Amount Enhancements,",Tiffany Stephenson,01/18/2019 02:17 PM,No,"","","",2019 Future Release,01/18/2019,"",No
157787,Medium (25-60hr),2,Enhancement/New Functionality,Story,UAT Approved,High,CO and MN - Net Tangible Benefit Re-disclosure at CIC,Tiffany Stephenson,10/04/2018 04:54 PM,Yes,"","","",2019 Future Release,10/04/2018,"",No
178389,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Review Rules & Enable Payoff Automation for BDL,Tiffany Stephenson,07/12/2019 03:22 PM,Yes,"",Gladiators,Timur Nakonechnyy,"",07/24/2019,100,Yes
179815,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Auto-trigger for Conditions DB when docs are in Borrower - Doc Upload,Tiffany Stephenson,08/01/2019 12:33 PM,Yes,"",Gladiators,TBD,"",08/01/2019,31,No
138693,Medium (25-60hr),2,Enhancement,Agile Request,In Development,High,DC Mortgage Written Commitment UW Condition,Tiffany Stephenson,01/05/2018 01:26 PM,Yes,"",Gladiators,Timur Nakonechnyy,"",01/05/2018,31,No
160764,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,High,Update Doc Placeholders,Tiffany Stephenson,11/13/2018 05:21 PM,No,"",Burning Man,David Few,"",11/13/2018,,No
166567,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Max Cash Back Limits ,Tiffany Stephenson,02/06/2019 04:39 PM,No,"",Burning Man,David Few,"",02/06/2019,,Yes
167741,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,High,Send CD in Lieu - Light Modification BDL,Tiffany Stephenson,02/25/2019 11:52 AM,No,"",Burning Man,David Few,"",02/25/2019,,No
167784,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Update Restructure Routing Logic,Tiffany Stephenson,02/25/2019 04:29 PM,No,"",Burning Man,David Few,"",02/25/2019,,No
167787,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Update CIC logic tied to Optimal Blue,Tiffany Stephenson,02/25/2019 04:44 PM,No,"",Burning Man,David Few,"",02/25/2019,,No
167789,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Reorganization of Loan Details Section on PNMAC - Customer Service,Tiffany Stephenson,02/25/2019 04:52 PM,No,"",Burning Man,David Few,"",02/25/2019,,No
167790,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Make Final CD Required Document in eFolder,Tiffany Stephenson,02/25/2019 04:56 PM,No,"",Burning Man,David Few,"",02/25/2019,,Yes
169252,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,POSH Prevention - Payoff Disbursement Date,Tiffany Stephenson,03/15/2019 04:57 PM,No,"",Burning Man,David Few,"",03/15/2019,,No
171177,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Refund Tracking,Tiffany Stephenson,04/11/2019 06:32 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171178,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Alert: change in disclosed credit,Tiffany Stephenson,04/11/2019 06:35 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171179,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,"Anticipate Payment Calculation, Funds in Suspense",Tiffany Stephenson,04/11/2019 06:38 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171180,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Automating PIW eligible field ,Tiffany Stephenson,04/11/2019 06:41 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171181,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Lender Credit Warnings and Hardstops - Quick Rules,Tiffany Stephenson,04/11/2019 06:44 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171182,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Update auto-order logic for FHA loans,Tiffany Stephenson,04/11/2019 06:46 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171184,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Disclosure Tracking Email Template - Post Consummation CD,Tiffany Stephenson,04/11/2019 06:51 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171185,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,HomeReady SFC Code 184 Updates,Tiffany Stephenson,04/11/2019 06:54 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171203,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Seasoning Controls for Texas A-6,Tiffany Stephenson,04/11/2019 10:27 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171226,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Title Review Logic Adjustment,Tiffany Stephenson,04/11/2019 12:53 PM,No,"",Burning Man,David Few,"",04/11/2019,100,No
171229,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Disclosure Ready/Required/Status field updates needed,Tiffany Stephenson,04/11/2019 12:58 PM,No,"",Burning Man,David Few,"",04/11/2019,,No
171231,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,"Trigger VVOE on Credit Qualifying FHA Streamline,  non-port FHA Streamlines and VA IRRRLs for BDL and CDL ",Tiffany Stephenson,04/11/2019 01:05 PM,Yes,"",Burning Man,David Few,"",04/11/2019,,No
171246,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,NOI validation and approval,Tiffany Stephenson,04/11/2019 01:41 PM,No,"",Burning Man,David Few,"",04/11/2019,,No
172661,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,First time Use Question being removed on Repricer Events,Tiffany Stephenson,04/26/2019 12:03 PM,No,"",Burning Man,David Few,"",04/26/2019,,No
174722,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Automated 1003 at Application ,Tiffany Stephenson,05/22/2019 04:56 PM,No,"",Burning Man,David Few,"",05/22/2019,,Yes
175868,Medium (25-60hr),2,Enhancement/New Functionality,Agile Request,New,Medium,NOI not sent solve,Tiffany Stephenson,06/07/2019 08:57 AM,No,"",Burning Man,David Few,"",06/07/2019,,No
154444,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,On Hold,BDL: Accepted Broker Disclosures,Narendra S Gujral,08/23/2018 04:16 PM,No,"",,Swapna Nadkarni,BDL: Tavant Future Release 2019,08/23/2018,,Yes
167783,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Exception Request Tracking,Tiffany Stephenson,02/25/2019 04:18 PM,No,"",,David Few,"",02/25/2019,1,Yes
173552,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Improve excessive automated conditions on VA loans,Tiffany Stephenson,05/07/2019 10:52 AM,No,"",,David Few,"",05/07/2019,,No
174706,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Notice of Incompleteness (NOI) pre STO,Tiffany Stephenson,05/22/2019 04:02 PM,No,06/01/2019,Trendsetters,David Few,"",05/22/2019,,Yes
177118,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Requirement for HOA Dues to be input on proposed payment,Tiffany Stephenson,06/25/2019 10:52 AM,No,"",,David Few,"",06/25/2019,,No
148772,Medium (25-60hr),3,Defect,Agile Request,In UAT,High,BDL - Update Property acquired less than 1 year (Field ID CX.PROPACQUIRED1YRAFLG) logic for FHA Refinances loans,Joseph Crocitto,06/12/2018 11:39 AM,No,"",,Swapna Nadkarni,BDL: Tavant Future Release 2019,06/12/2018,,Yes
180037,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,CMT #6877 VA GNMA Seasoning Update,Tiffany Stephenson,08/05/2019 02:26 PM,Yes,"",Trendsetters,David Few,"",08/05/2019,36,No
178385,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Eliminate expired triggers from receiving trigger pricing,Tiffany Stephenson,07/12/2019 03:12 PM,Yes,"",Gladiators,TBD,"",07/12/2019,100,Yes
179261,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,In Development,Medium,FHA Streamline NTB Requirements,Tiffany Stephenson,07/25/2019 08:40 AM,Yes,"",Gladiators,TBD,"",07/25/2019,31,No
171186,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Closing: Fee Invoices,Tiffany Stephenson,04/11/2019 06:56 AM,No,"",Burning Man,David Few,"",04/11/2019,,No
171224,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Self-Employed Order VVOE logic change,Tiffany Stephenson,04/11/2019 12:46 PM,No,"",Burning Man,David Few,"",04/11/2019,,No
173133,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Asset Review Gaps,Tiffany Stephenson,05/01/2019 11:39 AM,No,"",Burning Man,David Few,"",05/01/2019,,No
173141,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Move Asset and DTI Review order in Workflow,Tiffany Stephenson,05/01/2019 12:39 PM,No,"",Burning Man,David Few,"",05/01/2019,,No
174697,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Rate Reduction Worksheet Line 1 (Field ID 26) Logic update,Tiffany Stephenson,05/22/2019 03:24 PM,No,"",Burning Man,David Few,"",05/22/2019,,No
174712,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Working sessions to develop changes needed for this functionality to work.,Tiffany Stephenson,05/22/2019 04:24 PM,Yes,"",Burning Man,David Few,"",05/22/2019,100,No
174713,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,IRRRL Workflow Change - Do Not Send to Guideline,Tiffany Stephenson,05/22/2019 04:27 PM,Yes,"",Burning Man,David Few,"",05/22/2019,,Yes
174719,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Bulk Wire Update - ATR/QM Issues,Tiffany Stephenson,05/22/2019 04:53 PM,No,"",Burning Man,David Few,"",05/22/2019,,No
172662,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,In Development,Medium,Create VVOE and WVOE Additional Orders queues,Tiffany Stephenson,04/26/2019 12:15 PM,Yes,"",,David Few,"",04/26/2019,,No
148112,Medium (25-60hr),3,Enhancement,Agile Request,In QA,High,Properties in Flood Zone,Vineet Pandey,06/04/2018 02:02 PM,No,"",Burning Man,David Few,"",07/10/2018,,Yes
177123,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,VA Form 26-1820 blank fields,Tiffany Stephenson,06/25/2019 11:06 AM,No,"",,Timur Nakonechnyy,"",06/25/2019,,No
177129,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,New,Medium,FHA Case # Integration,Tiffany Stephenson,06/25/2019 11:32 AM,No,"",,Timur Nakonechnyy,"",06/25/2019,,Yes
178930,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,In UAT,Medium,Update Funding Templates - Purchase and Refinance,Tiffany Stephenson,07/19/2019 04:40 PM,No,"",TBD,Timur Nakonechnyy,"","",,No
178931,Medium (25-60hr),3,Enhancement/New Functionality,Agile Request,In UAT,Medium,Create New Funding Cover Sheets - Purchase and Refinance,Tiffany Stephenson,07/19/2019 04:47 PM,No,"",TBD,Timur Nakonechnyy,"","",,No
179822,Medium (25-60hr),4,Enhancement/New Functionality,Agile Request,New,Medium,Escalation Feedback Loop,Tiffany Stephenson,08/01/2019 01:04 PM,No,"",TBD,TBD,"",08/01/2019,,No
172020,Medium (25-60hr),4,Enhancement/New Functionality,Agile Request,New,Medium,Adding Port Offer Campaign to Encompass,Tiffany Stephenson,04/22/2019 08:37 AM,Yes,"",Trendsetters,David Few,"",08/01/2019,100,Yes
175866,Medium (25-60hr),4,Enhancement/New Functionality,Agile Request,New,Medium,Internal PTA conditions are not triggering accurately,Tiffany Stephenson,06/07/2019 08:49 AM,No,"",TBD,TBD,"",06/07/2019,1,Yes
179648,Medium (25-60hr),4,Enhancement/New Functionality,Agile Request,New,Medium,Funding Review form Updates,Tiffany Stephenson,07/30/2019 04:38 PM,No,"",Trendsetters,David Few,"",07/30/2019,100,No
179652,Medium (25-60hr),4,Enhancement/New Functionality,Agile Request,New,Medium,Funding Validation Updates,Tiffany Stephenson,07/30/2019 04:51 PM,No,"",Trendsetters,David Few,"",07/30/2019,100,No
145319,Medium (25-60hr),4,Defect,Agile Request,In QA,Medium,Change in First Payment Date modifies Aggregate setup Due Date ,Niranjana Thiruvengadam,04/19/2018 12:49 PM,Yes,"",Gladiators,David Few,"",04/26/2019,30,No
178299,Medium (25-60hr),5,Enhancement/New Functionality,Agile Request,New,Medium,RAS 1496C NJ Rate Lock Signature Conditions,Tiffany Stephenson,07/11/2019 04:16 PM,Yes,07/26/2019,Trendsetters,Timur Nakonechnyy,"",07/11/2019,,Yes
180356,Medium (25-60hr),Pending,Enhancement/New Functionality,Agile Request,New,Urgent,FHA and VA Cash-out Max LTV Changes,Tiffany Stephenson,08/08/2019 01:21 PM,No,08/09/2019,TBD,TBD,"",08/08/2019,,No
180365,Medium (25-60hr),Pending ,Enhancement/New Functionality,Agile Request,New,Medium,Post closing conditions,Tiffany Stephenson,08/08/2019 02:06 PM,No,08/09/2019,Trendsetters,David Few,"",08/08/2019,100,No
125157,Large (61-160hr),2,Enhancement,Agile Request,New,Low,Penny Docs Second Sweep For Document in Encompass,Ishan Pal Singh,05/23/2017 04:08 PM,Yes,"",,David Few,"",05/23/2017,88,Yes
145205,Large (61-160hr),2,Enhancement,Agile Request,New,High,MA rate lock extension,Tiffany Stephenson,04/18/2018 12:59 PM,No,"",,Timur Nakonechnyy,"",04/18/2018,,No
162320,Large (61-160hr),2,Enhancement/New Functionality,Agile Request,New,Medium,Auto Update Processing Roles to WestVM,Tiffany Stephenson,12/05/2018 05:42 PM,No,"",,David Few,"",12/05/2018,,Yes
157786,Large (61-160hr),2,Enhancement/New Functionality,Story,In QA,High,BDL: CO and MN - Net Tangible Benefit Disclosure,Tiffany Stephenson,10/04/2018 04:53 PM,No,"","","",2019 Future Release,10/04/2018,"",No
161590,Large (61-160hr),2,Enhancement/New Functionality,Story,Ready for UAT,Medium,Jumbo (BDL & CDL): Implementation of controls in Encompass for DataVerify DRIVE Report ordering process,David Few,11/27/2018 01:46 PM,Yes,"","","",2019 Future Release,11/27/2018,"",No
157046,Large (61-160hr),2,Enhancement/New Functionality,Agile Request,New,High,Remove Encompass hard Stop for Conventional No Cash-Out Refi,Tiffany Stephenson,09/26/2018 03:30 PM,No,"",Burning Man,David Few,"",09/26/2018,,No
176654,Large (61-160hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Run seasoning rules for VA/FHA for MAC Portal Apps upon entering Encompass,Tiffany Stephenson,06/18/2019 03:21 PM,No,"",,TBD,"",06/18/2019,,No
179661,Large (61-160hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Appraisal Service Orders Enhancement,Tiffany Stephenson,07/30/2019 05:22 PM,No,"",TBD,TBD,"",07/30/2019,,No
169471,Large (61-160hr),3,Enhancement/New Functionality,Agile Request,In Development,Medium,Title Review modifications grading updates and title ready triggers,Tiffany Stephenson,03/19/2019 05:00 PM,No,"",Gladiators,Timur Nakonechnyy,"",06/11/2019,,Yes
160905,Large (61-160hr),3,Enhancement/New Functionality,Agile Request,New,High,(Credit/QC) FHA Seasoning Requirements for Refinances,Tiffany Stephenson,11/14/2018 10:17 PM,No,"",Burning Man,David Few,"",11/14/2018,,No
162313,Large (61-160hr),3,Enhancement/New Functionality,Agile Request,New,Medium,Calculate Days of Subject Property Ownership for Cash-Out Refinance Eligibility Requirements,Tiffany Stephenson,12/05/2018 05:13 PM,Yes,"",Burning Man,David Few,"",08/08/2019,,No
172997,Large (61-160hr),3,Enhancement/New Functionality,Agile Request,New,Medium,VA Recoupment Calculation,Tiffany Stephenson,04/30/2019 10:46 AM,No,"",Burning Man,David Few,"",04/30/2019,,No
143360,Large (61-160hr),4,Enhancement,Agile Request,New,Medium,Texas A6 - NBP 12 Day Notice,Tiffany Stephenson,03/20/2018 03:27 PM,No,"",,Timur Nakonechnyy,"",03/20/2018,,Yes
176652,Large (61-160hr),4,Enhancement/New Functionality,Agile Request,New,Medium,E2E follow up log ( for LOs),Tiffany Stephenson,06/18/2019 03:15 PM,No,"",Trendsetters,David Few,"",06/18/2019,,No
167096,Large (61-160hr),4,Enhancement/New Functionality,Agile Request,New,Medium,Build Best Ex Grid for MGIC/Essent/Radian for BPMI (Borrower Paid Mortgage Ins),Tiffany Stephenson,02/13/2019 04:40 PM,No,"",TBD,TBD,"",04/10/2019,"",No
155737,Extra Large (161hr+),2,Enhancement/New Functionality,Agile Request,New,Medium,Est. Closing Date/Interest Entry Date Logic,Tiffany Stephenson,09/11/2018 03:41 PM,No,"",,David Few,"",09/11/2018,,No
174231,TBD,"",Enhancement/New Functionality,Agile Request,In Development,Medium,( Research) CMT 4747 FNMA and FHLMC UCD Update Effective 6/24/2019,Tiffany Stephenson,05/15/2019 05:41 PM,No,06/24/2019,TBD,TBD,"",05/15/2019,,No
157671,TBD,1,Enhancement/New Functionality,Agile Request,New,Urgent,[Tavant] BDL Homeready Counselling Fee Issue,Tiffany Stephenson,10/03/2018 03:34 PM,No,"",,Swapna Nadkarni,BDL: Tavant Future Release 2019,10/03/2018,,No
179857,TBD,2,Enhancement/New Functionality,Agile Request,New,Medium,RAS 1585 AM schedule,Tiffany Stephenson,08/01/2019 04:25 PM,No,"",TBD,TBD,"",08/01/2019,,No
179355,TBD,2,Enhancement/New Functionality,Agile Request,In Development,Medium,RAS:  Iowa Interest Reduction Fee Disclosure,Tiffany Stephenson,07/25/2019 04:47 PM,No,08/02/2019,TBD,Timur Nakonechnyy,"",07/25/2019,,Yes
177108,TBD,3,Enhancement/New Functionality,Agile Request,New,On Hold,RAS 1585 WV Purchase AM Schedule - Last Payment,Tiffany Stephenson,06/25/2019 10:15 AM,No,06/28/2019,,David Few,"",06/25/2019,,Yes
174708,TBD,4,Enhancement/New Functionality,Agile Request,New,Medium,NBS/NBO Functionality,Tiffany Stephenson,05/22/2019 04:07 PM,Yes,"",TBD,David Few,"",05/22/2019,,No
